Master Key,Dataset Key,Segment Type,Channel,Hashtag,Handle,Post Content,Retweets,Replies,Likes,Post Time,Post Url,Handle Image Url
11,2608,KOL,Weibo,['#Kevin老师种草记#'],Kevin凯文老师,昨天的直播大家都看了吗？作为社会人，如果你还搞不清楚怎么玩转小程序，就真的out啦！[小黄人坏笑_old]赶紧来补课吧！#Kevin老师种草记#,4,25,75,2018-05-10 12:15,https://www.weibo.com/1344360230/GfZd6oEQN?from=page_1005051344360230_profile&wvr=6&mod=weibotime,
11,2609,KOL,Weibo,['#忽那汐里#'],haruru,#忽那汐里# × TOGA 2018春夏系列 ​​​​,8,3,93,2018-05-10 15:00,https://www.weibo.com/1655852940/Gg0hIc2ei?from=page_1005051655852940_profile&wvr=6&mod=weibotime,
11,2610,KOL,Weibo,[],胖达panda桑,『温柔珊瑚棕色日常眼妆画法步骤分享』用到的是Clio prism air单色眼影。1、先用13号给眼影整体和卧蚕打底。2、14号比刚刚打底的范围更小一点的涂抹在眼珠上。3、10号加深眼尾的阴影。4、16号画在眼睛中央和卧蚕，17号画在眼尾。5、最后画上眼线和睫毛膏完成。...展开全文c,18,6,79,2018-05-10 09:55,https://www.weibo.com/3505692194/GfYi0o7qI?from=page_1005053505692194_profile&wvr=6&mod=weibotime,
11,2611,KOL,Weibo,['#优木真央美#'],haruru,[ LEE ] 18年6月号/ 这一次，一定要把衣橱整理干净！ /model: #优木真央美#等 ​​​​,39,5,59,2018-05-08 22:40,https://www.weibo.com/1655852940/GfKrq7h1C?from=page_1005051655852940_profile&wvr=6&mod=weibotime,
11,2612,KOL,Weibo,[],美妆星球种草酱,被感动到了//@日本买买酱: 真是要看哭了QAQ,39,4,60,2018-05-10 10:42,https://www.weibo.com/1758428237/GfYBa1KP5?from=page_1005051758428237_profile&wvr=6&mod=weibotime,
11,2613,KOL,Weibo,[],时尚编辑Anna,@种草小当家 及时雨！我们澳门见,69,8,26,2018-05-04 11:06,https://www.weibo.com/5699464823/Gf4bU0csA?from=page_1005055699464823_profile&wvr=6&mod=weibotime,
11,2614,KOL,Weibo,"['#海报星图#', '#0506谢娜生日快乐#']",海报时尚网,#海报星图# 祝我们的太阳女神，永远十八岁的辣妈@谢娜 生日快乐 #0506谢娜生日快乐# ​​​​,3,15,84,2018-05-06 21:55,https://www.weibo.com/1656851485/Gfrio1qTH?from=page_1006061656851485_profile&wvr=6&mod=weibotime,
11,2615,KOL,Weibo,[],戴莫利So_Great,给Easy杂志四月刊拍的片儿和采访，我可真好看哈哈哈哈感谢好朋友们的支持！特别感谢：@PRONOUNCE_ // @JUNWEILIN_OFFICIAL  // @GARCON戛赫松 // @Cough_official ​​​​,9,29,64,2018-05-07 21:49,https://www.weibo.com/1303910221/GfAGtBZbV?from=page_1005051303910221_profile&wvr=6&mod=weibotime,
11,2616,KOL,Weibo,"['#COSMO星光#', '#周冬雨#']",时尚COSMO,#COSMO星光#  近日@周冬雨 在宣传电影《后来的我们》时，用手语和聋哑人粉丝热情交流，暖心冬叔真是人美心善！冬叔这次宣传的look依旧是一贯的清爽不出错。夏天想走小清新风格的你还不快跟着学一学？ #周冬雨# ​​​​,15,6,80,2018-05-08 18:13,https://www.weibo.com/1518966617/GfIHcnMOg?from=page_1002061518966617_profile&wvr=6&mod=weibotime,
11,2617,KOL,Weibo,['#早安#'],新浪时尚,#早安#世界上那么多人，什么时候能遇到一个陪我过完一生的人呢？ ​​​​,15,7,79,2018-05-09 07:30,https://www.weibo.com/1765148101/GfNUy1AgU?from=page_1002061765148101_profile&wvr=6&mod=weibotime,
11,2618,KOL,Weibo,[],VogueFilm,电影《间谍同盟》中不仅有个人魅力超群的Brad Pitt与Marion Cotillard，更有别致的城市印记，卡萨布兰卡。它身处北非的荒漠，吹着大西洋的海风，展现着欧洲的生活方式与潮流。间谍故事、爱情故事和时装故事都曾真切地在这里发生。从《卡萨布兰卡》到《间谍同盟》，从黑白到彩色，从战壕风衣到狩猎装， ​​​​...展开全文c,20,5,76,2018-05-08 14:02,https://www.weibo.com/1655526104/GfH3ac2SE?from=page_1002061655526104_profile&wvr=6&mod=weibotime,
11,2619,KOL,Weibo,"['#海报种草#', '#奢宠白金#']",海报时尚网,#海报种草# 马上就快到夏天了，你是不是又担心自己要被晒黑几个度？@雅诗兰黛 贵妇级护肤系列#奢宠白金#——全新推出的白金级花菁萃紧颜焕亮系列，让你轻松拥有皙白透亮肌肤！白金级花菁萃紧颜焕亮精华乳&乳霜，含有珍稀的天使草花瓣和晚香玉菁萃，以堪比天然露水的非凡渗透力，将焕白赋活能量注入肌底 ​​​​...展开全文c,92,2,7,2018-05-10 18:50,https://www.weibo.com/1656851485/Gg1Npzzxp?from=page_1006061656851485_profile&wvr=6&mod=weibotime,
